OBJECTID *,Shape *,AU_ID,AU_Name,AU_WBType,AU_UseCode,AU_LenMiles,AU_AreaAcr,HUC12,AQWMS_NUM,AQWMS_TXT,Shape_Length,Basin
2,Polyline ZM,OR_CL_1710020102_106224,Ecola State Park,566,1,5.263571,<Null>,1.71002E+11,106224,106224,27791.71195,North Coast
3,Polyline ZM,OR_CL_1710020102_106225,Cannon Beach,566,1,3.557528,<Null>,1.71002E+11,106225,106225,18783.78755,North Coast
4,Polyline ZM,OR_CL_1710020102_106226,Del Rey Beach State Recreation Site,566,1,5.292541,<Null>,1.71002E+11,106226,106226,27944.67259,North Coast
5,Polyline ZM,OR_CL_1710020102_106227,Tolovana State Park Beach,566,1,1.357033,<Null>,1.71002E+11,106227,106227,7165.149665,North Coast
6,Polyline ZM,OR_CL_1710020102_106228,Arcadia State Park Beach,566,1,1.850509,<Null>,1.71002E+11,106228,106228,9770.708601,North Coast
7,Polyline ZM,OR_CL_1710020102_106229,Cape Falcon Shoreside Marine Protected Area,566,1,3.427528,<Null>,1.71002E+11,106229,106229,18097.38611,North Coast
8,Polyline ZM,OR_CL_1710020102_106230,Devils Cauldron,566,1,2.601036,<Null>,1.71002E+11,106230,106230,13733.49644,North Coast
9,Polyline ZM,OR_CL_1710020102_106231,Manzanita Beach,566,1,1.75943,<Null>,1.71002E+11,106231,106231,9289.810286,North Coast
10,Polyline ZM,OR_CL_1710020102_106232,Nehalem Bay State Park Beach,566,1,3.911808,<Null>,1.71002E+11,106232,106232,20654.38718,North Coast
11,Polyline ZM,OR_CL_1710020102_106267,Fort Stevens State Park Beach,566,1,5.589726,<Null>,1.71002E+11,106267,106267,29513.8105,North Coast
12,Polyline ZM,OR_CL_1710020102_106268,Sunset Beach,566,1,4.491344,<Null>,1.71002E+11,106268,106268,23714.34336,North Coast
13,Polyline ZM,OR_CL_1710020102_106275,Seaside Beach,566,1,2.708537,<Null>,1.71002E+11,106275,106275,14301.10562,North Coast
14,Polyline ZM,OR_CL_1710020102_106276,Indian Beach at Ecola State Park,566,1,1.502322,<Null>,1.71002E+11,106276,106276,7932.27673,North Coast
15,Polyline ZM,OR_CL_1710020102_106277,Oswald West State Park,566,1,3.248467,<Null>,1.71002E+11,106277,106277,17151.93753,North Coast
16,Polyline ZM,OR_CL_1710020102_106278,Hug Point State Park Beach,566,1,0.489881,<Null>,1.71002E+11,106278,106278,2586.575359,North Coast
17,Polyline ZM,OR_CL_1710020102_106279,Short Sand Beach,566,1,0.79034,<Null>,1.71002E+11,106279,106279,4173.003012,North Coast
18,Polyline ZM,OR_CL_1710020310_106233,Barview County Park Beach,566,1,1.780817,<Null>,1.71002E+11,106233,106233,9402.732929,North Coast
19,Polyline ZM,OR_CL_1710020310_106234,Manhattan Beach State Park,566,1,1.590962,<Null>,1.71002E+11,106234,106234,8400.29837,North Coast
20,Polyline ZM,OR_CL_1710020310_106235,Rockaway Beach,566,1,2.481534,<Null>,1.71002E+11,106235,106235,13102.52744,North Coast
21,Polyline ZM,OR_CL_1710020310_106236,Twin Rocks Beach,566,1,0.792014,<Null>,1.71002E+11,106236,106236,4181.842065,North Coast
22,Polyline ZM,OR_CL_1710020310_106237,Bob Straub State Park Beach,566,1,3.003549,<Null>,1.71002E+11,106237,106237,15858.77199,North Coast
23,Polyline ZM,OR_CL_1710020310_106238,Oceanside Beach State Wayside,566,1,2.386405,<Null>,1.71002E+11,106238,106238,12600.24541,North Coast
24,Polyline ZM,OR_CL_1710020310_106239,Cape Lookout State Park Beach,566,1,6.103359,<Null>,1.71002E+11,106239,106239,32225.8,North Coast
25,Polyline ZM,OR_CL_1710020310_106240,Sand Lake Recreation Area,566,1,4.092158,<Null>,1.71002E+11,106240,106240,21606.63941,North Coast
26,Polyline ZM,OR_CL_1710020310_106241,Sitka Sedge State Natural Area,566,1,2.481704,<Null>,1.71002E+11,106241,106241,13103.42241,North Coast
27,Polyline ZM,OR_CL_1710020310_106242,Cape Kiwanda State Natural Area,566,1,3.118154,<Null>,1.71002E+11,106242,106242,16463.8855,North Coast
28,Polyline ZM,OR_CL_1710020310_106243,Neskowin Beach,566,1,5.163545,<Null>,1.71002E+11,106243,106243,27263.57013,North Coast
29,Polyline ZM,OR_CL_1710020310_106280,Cape Meares National Wildlife Refuge,566,1,2.594286,<Null>,1.71002E+11,106280,106280,13697.857,North Coast
30,Polyline ZM,OR_CL_1710020310_106281,Cape Meares Beach,566,1,5.852101,<Null>,1.71002E+11,106281,106281,30899.15716,North Coast
31,Polyline ZM,OR_CL_1710020310_106282,Short Beach,566,1,1.171483,<Null>,1.71002E+11,106282,106282,6185.44179,North Coast
32,Polyline ZM,OR_CL_1710020310_106283,Cape Lookout,566,1,5.085183,<Null>,1.71002E+11,106283,106283,26849.81847,North Coast
33,Polyline ZM,OR_CL_1710020310_106284,Cape Kiwanda State Park Beach,566,1,1.14455,<Null>,1.71002E+11,106284,106284,6043.236658,North Coast
34,Polyline ZM,OR_CL_1710020310_106285,Cascade Head,566,1,9.219102,<Null>,1.71002E+11,106285,106285,48676.95668,Mid Coast
35,Polyline ZM,OR_CL_1710020410_106218,Depoe Bay,566,1,4.478617,<Null>,1.71002E+11,106218,106218,23647.14732,Mid Coast
36,Polyline ZM,OR_CL_1710020410_106244,Nelscott Beach,566,1,1.896996,<Null>,1.71002E+11,106244,106244,10016.15863,Mid Coast
37,Polyline ZM,OR_CL_1710020410_106245,Moolack Beach,566,1,2.981463,<Null>,1.71002E+11,106245,106245,15742.15539,Mid Coast
38,Polyline ZM,OR_CL_1710020410_106246,Otter Rock Marine Garden,566,1,2.325938,<Null>,1.71002E+11,106246,106246,12280.9781,Mid Coast
39,Polyline ZM,OR_CL_1710020410_106247,Yaquina Bay State Park Beach,566,1,1.649408,<Null>,1.71002E+11,106247,106247,8708.891385,Mid Coast
40,Polyline ZM,OR_CL_1710020410_106248,Nye Beach,566,1,1.695995,<Null>,1.71002E+11,106248,106248,8954.873181,Mid Coast
41,Polyline ZM,OR_CL_1710020410_106249,Agate Beach,566,1,1.89708,<Null>,1.71002E+11,106249,106249,10016.60504,Mid Coast
42,Polyline ZM,OR_CL_1710020410_106250,Otter Rock Beach,566,1,1.016835,<Null>,1.71002E+11,106250,106250,5368.900354,Mid Coast
43,Polyline ZM,OR_CL_1710020410_106251,Roads End Beach,566,1,1.92758,<Null>,1.71002E+11,106251,106251,10177.64349,Mid Coast
44,Polyline ZM,OR_CL_1710020410_106252,D River Beach,566,1,1.429693,<Null>,1.71002E+11,106252,106252,7548.794706,Mid Coast
45,Polyline ZM,OR_CL_1710020410_106253,Gleneden Beach,566,1,5.925858,<Null>,1.71002E+11,106253,106253,31288.59297,Mid Coast
46,Polyline ZM,OR_CL_1710020410_106254,Fogarty Creek Beach,566,1,0.951232,<Null>,1.71002E+11,106254,106254,5022.514547,Mid Coast
47,Polyline ZM,OR_CL_1710020410_106255,Boiler Bay,566,1,1.78512,<Null>,1.71002E+11,106255,106255,9425.451301,Mid Coast
48,Polyline ZM,OR_CL_1710020410_106256,Whale Cove,566,1,3.400211,<Null>,1.71002E+11,106256,106256,17953.15241,Mid Coast
49,Polyline ZM,OR_CL_1710020410_106257,Beverly Beach,566,1,1.528014,<Null>,1.71002E+11,106257,106257,8067.930412,Mid Coast
50,Polyline ZM,OR_CL_1710020410_106286,Wecoma Beach,566,1,1.988123,<Null>,1.71002E+11,106286,106286,10497.31173,Mid Coast
51,Polyline ZM,OR_CL_1710020410_106287,Devils Punch Bowl Beach,566,1,0.62954,<Null>,1.71002E+11,106287,106287,3323.975277,Mid Coast
52,Polyline ZM,OR_CL_1710020410_106288,Yaquina Head,566,1,2.043302,<Null>,1.71002E+11,106288,106288,10788.65411,Mid Coast
53,Polyline ZM,OR_CL_1710020508_105033,Florence North Jetty Beach,566,1,1.644014,<Null>,1.71002E+11,105033,105033,8680.409155,Mid Coast
54,Polyline ZM,OR_CL_1710020508_105040,Heceta Beach,566,1,1.20132,<Null>,1.71002E+11,105040,105040,6342.984886,Mid Coast
55,Polyline ZM,OR_CL_1710020508_105826,Cape Perpetua,566,1,6.313926,<Null>,1.71002E+11,105826,105826,33337.59618,Mid Coast
56,Polyline ZM,OR_CL_1710020508_106258,Lost Creek State Recreation Site,566,1,3.879087,<Null>,1.71002E+11,106258,106258,20481.61776,Mid Coast
57,Polyline ZM,OR_CL_1710020508_106259,Ona Beach,566,1,2.872938,<Null>,1.71002E+11,106259,106259,15169.14038,Mid Coast
58,Polyline ZM,OR_CL_1710020508_106260,Seal Rock Beach,566,1,1.208667,<Null>,1.71002E+11,106260,106260,6381.775592,Mid Coast
59,Polyline ZM,OR_CL_1710020508_106261,Tillicum Beach,566,1,2.789765,<Null>,1.71002E+11,106261,106261,14729.99123,Mid Coast
60,Polyline ZM,OR_CL_1710020508_106262,Governor Patterson State Park,566,1,1.155176,<Null>,1.71002E+11,106262,106262,6099.342127,Mid Coast
61,Polyline ZM,OR_CL_1710020508_106263,Beachside State Park Beach,566,1,2.616903,<Null>,1.71002E+11,106263,106263,13817.27749,Mid Coast
62,Polyline ZM,OR_CL_1710020508_106264,Strawberry Hill Wayside,566,1,2.825974,<Null>,1.71002E+11,106264,106264,14921.17335,Mid Coast
64,Polyline ZM,OR_CL_1710020508_106266,Driftwood Beach,566,1,4.750539,<Null>,1.71002E+11,106266,106266,25082.89513,Mid Coast
65,Polyline ZM,OR_CL_1710020508_106269,South Beach,566,1,2.234011,<Null>,1.71002E+11,106269,106269,11795.6038,Mid Coast
66,Polyline ZM,OR_CL_1710020508_106270,Smelt Sands State Recreation Site,566,1,1.442756,<Null>,1.71002E+11,106270,106270,7617.764529,Mid Coast
67,Polyline ZM,OR_CL_1710020508_106271,Tokatee Klootchman State Wayside,566,1,1.680994,<Null>,1.71002E+11,106271,106271,8875.66784,Mid Coast
68,Polyline ZM,OR_CL_1710020508_106272,Rock Creek Campground - Roosevelt Beach,566,1,1.247592,<Null>,1.71002E+11,106272,106272,6587.297814,Mid Coast
69,Polyline ZM,OR_CL_1710020508_106273,Muriel O. Ponsler Memorial State Scenic Viewpoint,566,1,1.139273,<Null>,1.71002E+11,106273,106273,6015.37356,Mid Coast
71,Polyline ZM,OR_CL_1710020508_106289,Yachats Wayside Beach,566,1,2.165654,<Null>,1.71002E+11,106289,106289,11434.67389,Mid Coast
72,Polyline ZM,OR_CL_1710020508_106290,Neptune Beach,566,1,0.881315,<Null>,1.71002E+11,106290,106290,4653.350181,Mid Coast
73,Polyline ZM,OR_CL_1710020508_106291,Searose Beach,566,1,0.956182,<Null>,1.71002E+11,106291,106291,5048.65159,Mid Coast
74,Polyline ZM,OR_CL_1710020508_106292,Stonefield Beach State Recreation Site,566,1,0.345202,<Null>,1.71002E+11,106292,106292,1822.671133,Mid Coast
78,Polyline ZM,OR_CL_1710020702_104916,Oregon Dunes National Rec Area - South Jetty Beach,566,1,25.714839,<Null>,1.71002E+11,104916,104916,135774.622,Mid Coast
79,Polyline ZM,OR_CL_1710030405_104917,Oregon Dunes National Rec Area - Umpqua Dunes,566,1,6.034588,<Null>,1.71003E+11,104917,104917,31862.68873,South Coast
80,Polyline ZM,OR_CL_1710030405_105034,Gregory Point,566,1,2.800838,<Null>,1.71003E+11,105034,105034,14788.45633,South Coast
81,Polyline ZM,OR_CL_1710030405_105035,Shore Acres State Park,566,1,4.388853,<Null>,1.71003E+11,105035,105035,23173.19028,South Coast
82,Polyline ZM,OR_CL_1710030405_105036,Big Devil Gulch,566,1,3.391275,<Null>,1.71003E+11,105036,105036,17905.96561,South Coast
83,Polyline ZM,OR_CL_1710030405_105037,Whiskey Run Beach,566,1,2.47604,<Null>,1.71003E+11,105037,105037,13073.5179,South Coast
84,Polyline ZM,OR_CL_1710030405_105039,Bullards Beach,566,1,4.764022,<Null>,1.71003E+11,105039,105039,25154.08836,South Coast
85,Polyline ZM,OR_CL_1710030405_105041,Umpqua Beach,566,1,1.272394,<Null>,1.71003E+11,105041,105041,6718.255429,South Coast
86,Polyline ZM,OR_CL_1710030405_105042,Seven Devils State Recreation Site,566,1,3.809225,<Null>,1.71003E+11,105042,105042,20112.74834,South Coast
87,Polyline ZM,OR_CL_1710030405_105045,Oregon Dunes National Rec Area - Horsfall Beach,566,1,8.484427,<Null>,1.71003E+11,105045,105045,44797.86562,South Coast
88,Polyline ZM,OR_CL_1710030405_105046,Cape Arago State Park - South Cove,566,1,0.498175,<Null>,1.71003E+11,105046,105046,2630.3709,South Coast
89,Polyline ZM,OR_CL_1710030405_105047,Cape Arago,566,1,0.979992,<Null>,1.71003E+11,105047,105047,5174.3671,South Coast
90,Polyline ZM,OR_CL_1710030405_105048,Cape Arago State Park - North Cove,566,1,0.473257,<Null>,1.71003E+11,105048,105048,2498.804032,South Coast
91,Polyline ZM,OR_CL_1710030405_105049,Sunset Bay State Park Beach,566,1,0.690408,<Null>,1.71003E+11,105049,105049,3645.363621,South Coast
92,Polyline ZM,OR_CL_1710030405_105050,Bastendorff Beach,566,1,1.931919,<Null>,1.71003E+11,105050,105050,10200.55475,South Coast
93,Polyline ZM,OR_CL_1710030405_105051,North Spit,566,1,8.073085,<Null>,1.71003E+11,105051,105051,42625.97356,South Coast
94,Polyline ZM,OR_CL_1710030605_104605,Humbug Mountain State Park North,566,1,2.679464,<Null>,1.71003E+11,104605,104605,14147.59586,South Coast
95,Polyline ZM,OR_CL_1710030605_104703,Port Orford Heads,566,1,3.971157,<Null>,1.71003E+11,104703,104703,20967.74904,South Coast
96,Polyline ZM,OR_CL_1710030605_104704,Battle Rock State Park Beach,566,1,0.856981,<Null>,1.71003E+11,104704,104704,4524.869044,South Coast
97,Polyline ZM,OR_CL_1710030605_104706,Hubbard Mound,566,1,3.750964,<Null>,1.71003E+11,104706,104706,19805.13112,South Coast
98,Polyline ZM,OR_CL_1710030605_104707,Sisters Rock State Park,566,1,4.060345,<Null>,1.71003E+11,104707,104707,21438.66666,South Coast
99,Polyline ZM,OR_CL_1710030605_104708,Nesika Beach,566,1,3.943059,<Null>,1.71003E+11,104708,104708,20819.39192,South Coast
100,Polyline ZM,OR_CL_1710030605_104715,Paradise Point State Recreation Site,566,1,7.375641,<Null>,1.71003E+11,104715,104715,38943.46434,South Coast
101,Polyline ZM,OR_CL_1710030605_104716,Hubbard Creek Beach,566,1,1.353101,<Null>,1.71003E+11,104716,104716,7144.390149,South Coast
102,Polyline ZM,OR_CL_1710030605_104721,Port Point Beach,566,1,0.307978,<Null>,1.71003E+11,104721,104721,1626.128965,South Coast
103,Polyline ZM,OR_CL_1710030605_104722,Blacklock Point,566,1,1.272296,<Null>,1.71003E+11,104722,104722,6717.735578,South Coast
104,Polyline ZM,OR_CL_1710030605_104723,Cape Blanco State Park - Sixes River Beach,566,1,2.904155,<Null>,1.71003E+11,104723,104723,15333.96802,South Coast
105,Polyline ZM,OR_CL_1710030605_104724,Cape Blanco,566,1,1.143259,<Null>,1.71003E+11,104724,104724,6036.418335,South Coast
106,Polyline ZM,OR_CL_1710030605_104725,Humbug Mountain State Park South,566,1,7.429765,<Null>,1.71003E+11,104725,104725,39229.23547,South Coast
107,Polyline ZM,OR_CL_1710030605_104726,Humbug Mountain State Park Beach,566,1,0.551665,<Null>,1.71003E+11,104726,104726,2912.797114,South Coast
108,Polyline ZM,OR_CL_1710030605_104727,Arizona Beach State Recreation Site,566,1,0.68589,<Null>,1.71003E+11,104727,104727,3621.508381,South Coast
109,Polyline ZM,OR_CL_1710030605_104728,Ophir Beach,566,1,2.180581,<Null>,1.71003E+11,104728,104728,11513.48853,South Coast
110,Polyline ZM,OR_CL_1710030605_104729,Otter Point State Recreation Site,566,1,3.271999,<Null>,1.71003E+11,104729,104729,17276.19152,South Coast
111,Polyline ZM,OR_CL_1710030605_105038,Bandon South Jetty County Park,566,1,0.811924,<Null>,1.71003E+11,105038,105038,4286.968907,South Coast
112,Polyline ZM,OR_CL_1710030605_105043,Face Rock State Scenic Viewpoint,566,1,1.780183,<Null>,1.71003E+11,105043,105043,9399.386538,South Coast
113,Polyline ZM,OR_CL_1710030605_106332,Bandon State Natural Area,566,1,15.859218,<Null>,1.71003E+11,106332,106332,83736.84038,South Coast
114,Polyline ZM,OR_CL_1710031206_104702,Natural Bridges,566,1,8.990971,<Null>,1.71003E+11,104702,104702,47472.42158,South Coast
115,Polyline ZM,OR_CL_1710031206_104705,Buena Vista Ocean Wayside Park,566,1,2.74862,<Null>,1.71003E+11,104705,104705,14512.74305,South Coast
116,Polyline ZM,OR_CL_1710031206_104709,Gold Beach,566,1,2.036078,<Null>,1.71003E+11,104709,104709,10750.51367,South Coast
117,Polyline ZM,OR_CL_1710031206_104710,Cape Sebastian,566,1,2.859043,<Null>,1.71003E+11,104710,104710,15095.77759,South Coast
118,Polyline ZM,OR_CL_1710031206_104711,Red Point South,566,1,1.24178,<Null>,1.71003E+11,104711,104711,6556.612688,South Coast
119,Polyline ZM,OR_CL_1710031206_104712,Harris Beach State Park,566,1,1.892931,<Null>,1.71003E+11,104712,104712,9994.694917,South Coast
120,Polyline ZM,OR_CL_1710031206_104713,Tanbark Point,566,1,2.406141,<Null>,1.71003E+11,104713,104713,12704.45017,South Coast
121,Polyline ZM,OR_CL_1710031206_104714,Crissey Field State Recreation Site,566,1,1.471529,<Null>,1.71003E+11,104714,104714,7769.688945,South Coast
122,Polyline ZM,OR_CL_1710031206_104717,Hunter Creek Beach,566,1,0.879968,<Null>,1.71003E+11,104717,104717,4646.24014,South Coast
123,Polyline ZM,OR_CL_1710031206_104718,Pistol River State Scenic Viewpoint,566,1,2.605385,<Null>,1.71003E+11,104718,104718,13756.46067,South Coast
124,Polyline ZM,OR_CL_1710031206_104719,Sporthaven Beach,566,1,0.908244,<Null>,1.71003E+11,104719,104719,4795.536365,South Coast
125,Polyline ZM,OR_CL_1710031206_104720,Thomas Point,566,1,4.547853,<Null>,1.71003E+11,104720,104720,24012.70954,South Coast
126,Polyline ZM,OR_CL_1710031206_104730,Meyers Beach,566,1,2.719335,<Null>,1.71003E+11,104730,104730,14358.11968,South Coast
127,Polyline ZM,OR_CL_1710031206_104731,Samuel H. Boardman SSC - China Beach,566,1,0.978007,<Null>,1.71003E+11,104731,104731,5163.886933,South Coast
128,Polyline ZM,OR_CL_1710031206_104732,Cape Ferrelo,566,1,3.326002,<Null>,1.71003E+11,104732,104732,17561.32765,South Coast
129,Polyline ZM,OR_CL_1710031206_104733,Samuel H. Boardman SSC - Whaleshead Beach,566,1,1.528906,<Null>,1.71003E+11,104733,104733,8072.637738,South Coast
130,Polyline ZM,OR_CL_1710031206_104734,Samuel H. Boardman SSC - Lone Ranch Beach,566,1,1.656527,<Null>,1.71003E+11,104734,104734,8746.479692,South Coast
131,Polyline ZM,OR_CL_1710031206_104735,Rainbow Rock,566,1,2.212884,<Null>,1.71003E+11,104735,104735,11684.04927,South Coast
132,Polyline ZM,OR_CL_1710031206_104736,Fountain Rock,566,1,1.03779,<Null>,1.71003E+11,104736,104736,5479.542491,South Coast
133,Polyline ZM,OR_CL_1710031206_104737,Mill Beach,566,1,1.237947,<Null>,1.71003E+11,104737,104737,6536.372399,South Coast
134,Polyline ZM,OR_CL_1710031206_104738,Red Point North,566,1,0.64741,<Null>,1.71003E+11,104738,104738,3418.332657,South Coast
135,Polyline ZM,OR_CL_1710031206_104739,McVay Rock State Recreation Site,566,1,0.715272,<Null>,1.71003E+11,104739,104739,3776.645235,South Coast
,,OR_CL_1710020508_106265,,,,,,,,,,Mid Coast
,,OR_CL_1710020508_106274,,,,,,,,,,Mid Coast
,,OR_CL_1710020508_106293,,,,,,,,,,Mid Coast
,,OR_CL_1710020508_106294,,,,,,,,,,Mid Coast
,,OR_CL_1710020508_106408,,,,,,,,,,Mid Coast
