"","OrganizationID","MLocID","StationDes","MonLocType","HUC12_Name","ELEV_Ft","AU_ID","WaterTypeCode","WaterBodyCode","ben_use_code","OWRD_Basin","wqstd_code","Pollu_ID","Char_Name","SampleMedia","SampleSubmedia","Sample_Fraction","Result_status","Statistical_Base","Time_Basis","SampleStartDate","SampleStartTime","Act_Depth_Top","act_depth_height","Result_Type","Result_UID","Result_Numeric","Result_Unit","IRResultNWQSunit","Result_Operator","IRWQSUnitName","lab_Comments","General_Comments","QualifierAbbr","QualifierTxt","DO_code","DO_Class","DO_SpawnCode","SpawnStart","SpawnEnd","crit_30D","crit_7Mi","crit_Min","in_spawn","Do_7D","Date","dosat_mean7","Violation"
"1","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-02-18,"00:00:00.0000000",NA,NA,"Calculated",49060483,7.71,"mg/l",7.71,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,7.71,2009-02-18,62.4,1
"2","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-11,"00:00:00.0000000",NA,NA,"Calculated",49060747,8.66,"mg/l",8.66,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.66,2009-03-11,72,1
"3","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-20,"00:00:00.0000000",NA,NA,"Calculated",49060891,8.75,"mg/l",8.75,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.75,2009-03-20,75.5,1
"4","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-06,"00:00:00.0000000",NA,NA,"Calculated",49061102,8.08,"mg/l",8.08,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.08,2009-03-06,67.4,1
"5","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-02-12,"00:00:00.0000000",NA,NA,"Calculated",49060405,8.59,"mg/l",8.59,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.59,2009-02-12,66,1
"6","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-02-25,"00:00:00.0000000",NA,NA,"Calculated",49060579,8.76,"mg/l",8.76,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.76,2009-02-25,72.8,1
"7","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-13,"00:00:00.0000000",NA,NA,"Calculated",49060775,8.68,"mg/l",8.68,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.68,2009-03-13,70.9,1
"8","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-25,"00:00:00.0000000",NA,NA,"Calculated",49060961,8.72,"mg/l",8.72,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.72,2009-03-25,76.5,1
"9","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-24,"00:00:00.0000000",NA,NA,"Calculated",49060947,8.7,"mg/l",8.7,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.7,2009-03-24,76,1
"10","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-03,"00:00:00.0000000",NA,NA,"Calculated",49061027,8.23,"mg/l",8.23,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.23,2009-03-03,67.8,1
"11","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-02-16,"00:00:00.0000000",NA,NA,"Calculated",49060457,7.61,"mg/l",7.61,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,7.61,2009-02-16,59.3,1
"12","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-10,"00:00:00.0000000",NA,NA,"Calculated",49060733,8.6,"mg/l",8.6,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.6,2009-03-10,71.9,1
"13","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-12,"00:00:00.0000000",NA,NA,"Calculated",49060761,8.67,"mg/l",8.67,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.67,2009-03-12,71.3,1
"14","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-16,"00:00:00.0000000",NA,NA,"Calculated",49060817,8.8,"mg/l",8.8,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.8,2009-03-16,72.1,1
"15","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-19,"00:00:00.0000000",NA,NA,"Calculated",49060859,8.74,"mg/l",8.74,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.74,2009-03-19,74.7,1
"16","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-02,"00:00:00.0000000",NA,NA,"Calculated",49060878,8.32,"mg/l",8.32,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.32,2009-03-02,68.7,1
"17","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-02-17,"00:00:00.0000000",NA,NA,"Calculated",49060470,7.6,"mg/l",7.6,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,7.6,2009-02-17,60.3,1
"18","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-04,"00:00:00.0000000",NA,NA,"Calculated",49061067,8.11,"mg/l",8.11,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.11,2009-03-04,66.9,1
"19","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-02-19,"00:00:00.0000000",NA,NA,"Calculated",49060496,7.94,"mg/l",7.94,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,7.94,2009-02-19,64.5,1
"20","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-14,"00:00:00.0000000",NA,NA,"Calculated",49060789,8.7,"mg/l",8.7,"=","mg/l","Failed. Quality control criteria exceeded during analysis.",NA,"DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.7,2009-03-14,70.9,1
"21","MARION_SWCD(NOSTORETID)","40126-ORDEQ","Fruitland Ck 0.2 RM downstream of Lardon Road","River/Stream","Upper Little Pudding River",159,"OR_WS_170900090108_02_104461",2,2,2,"Willamette",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final","7DADMean","7 Day",2009-03-15,"00:00:00.0000000",NA,NA,"Calculated",49060803,8.78,"mg/l",8.78,"=","mg/l","Failed. Quality control criteria exceeded during analysis.","22 hrs with valid data in day","DQL=B","Data of known but lesser quality; Data may not meet established QC but is within marginal acceptance criteria; or data value may be accurate, however controls used to measure Data Quality Objective (DQO) elements failed (e.g., batch failed to meet blank QC limit);",3,"Cool Water",25,2009-01-01,2009-06-15,6.5,5,4,1,8.78,2009-03-15,71.7,1
